분류번호,측정소명,년/월/일,회차,경도,위도,채수시각,수심(m),수온(℃),DO(㎎/L),BOD(㎎/L),COD(㎎/L),SS(㎎/L),TN(㎎/L),TP(㎎/L),TOC(㎎/L),경도_십진수,위도_십진수
2008A40,위천5,2025/01/15,1회차,"128°19'44.5""","36°24'19.8""",14:00,,2.8,14.9,1.1,4.0,0.8,2.251,0.017,3.2,128.32902777777778,36.405499999999996
4003A04,율천,2025/01/15,1회차,"127°20'48.65""","35°30'13.69""",11:40,,4.6,14.0,0.6,2.9,1.3,2.403,0.069,2.2,127.34684722222222,35.50380277777778
2005A15,이안천,2025/01/15,1회차,"128°12'45.7""","36°32'11.7""",10:30,,3.2,12.3,0.5,1.9,0.4,2.096,0.020,1.1,128.21269444444442,36.53658333333333
3011A85,조천1,2025/01/15,1회차,"127°18'20.9""","36°36'11.8""",14:18,,6.0,13.3,3.8,4.1,2.0,3.678,0.149,2.4,127.30580555555555,36.60327777777778
1302A40,주수천,2025/01/15,1회차,"129°2'30.23""","37°36'48.87""",11:35,,4.2,13.1,0.3,1.4,0.3,1.312,정량한계미만,0.9,129.04173055555555,37.613575000000004
5301A10,주진천1,2025/01/15,1회차,"126°36'32.5""","35°28'44.4""",10:09,,3.7,12.6,4.0,5.4,6.0,5.922,0.077,2.1,126.60902777777777,35.479
5301A20,주진천2,2025/01/15,1회차,"126°36'46.2""","35°29'58.7""",10:15,,3.7,13.4,4.2,5.7,8.8,6.154,0.061,2.3,126.61283333333333,35.49963888888889
5003A25,지석천2,2025/01/15,1회차,"126°54'1.09""","35°0'21.4""",11:20,,4.3,14.0,1.2,3.7,2.6,3.203,0.084,3.0,126.90030277777778,35.005944444444445
2020A39,청도천1,2025/01/15,1회차,"128°39'.7""","35°26'32.8""",13:30,,3.9,14.7,0.6,2.6,3.6,2.415,0.023,1.9,128.65019444444445,35.44244444444444
2020A40,청도천2,2025/01/15,1회차,"128°38'47.1""","35°24'38.8""",11:00,,4.6,15.2,0.8,2.9,2.4,2.4,0.031,2.1,128.64641666666665,35.410777777777774
2004A05,토일천,2025/01/15,1회차,"128°43'50.9""","36°47'15.24""",11:10,,4.3,12.6,0.3,2.2,0.8,4.604,0.045,1.7,128.73080555555555,36.78756666666666
2012A55,팔거천1,2025/01/15,1회차,"128°33'11.33""","35°57'35.1""",12:30,,3.0,14.3,0.7,4.8,1.2,1.939,0.022,2.6,128.55314722222224,35.95975
5004A05,평동천,2025/01/15,1회차,"126°46'36""","35°5'59""",10:00,,5.6,12.5,1.5,5.0,5.1,8.562,0.233,3.8,126.77666666666667,35.099722222222226
1022A30,포천천,2025/01/15,1회차,"127°14'19.35""","38°0'14.85""",11:00,,1.2,13.7,2.1,4.9,2.1,8.74,0.041,3.3,127.23870833333334,38.004125
2003A35,풍산천,2025/01/15,1회차,"128°34'25.37""","36°34'18.32""",13:10,,3.1,13.6,0.3,2.8,2.0,2.135,0.025,1.8,128.57371388888888,36.57175555555556
5001A28,풍영정천1,2025/01/15,1회차,"126°48'34.62""","35°13'19.23""",13:30,,4.5,14.4,1.2,4.2,5.1,3.477,0.138,3.6,126.80961666666667,35.222008333333335
2004A60,한천,2025/01/15,1회차,"128°25'10.94""","36°36'37.33""",13:00,,4.9,12.2,0.5,3.5,15.8,2.278,0.045,1.7,128.41970555555554,36.610369444444444
5006A30,함평천3,2025/01/15,1회차,"126°32'8""","34°59'46""",10:40,,4.3,13.5,2.2,6.9,16.6,4.538,0.154,4.9,126.53555555555555,34.99611111111111
2016A10,황강4,2025/01/15,1회차,"128°10'5.36""","35°33'39.5""",13:50,,7.0,12.0,0.5,3.1,2.4,1.243,0.011,2.1,128.16815555555556,35.56097222222222
2016A20,황강5,2025/01/15,1회차,"128°17'33""","35°34'19.3""",12:48,,4.7,13.2,0.6,3.4,13.0,1.515,0.027,1.9,128.2925,35.572027777777784
5002A25,황룡강3,2025/01/15,1회차,"126°44'30.14""","35°15'2.81""",09:50,,4.9,13.4,1.8,4.4,4.8,2.025,0.047,3.2,126.74170555555555,35.25078055555556
4003A08,후곡천,2025/01/15,1회차,"127°16'24.2""","35°28'25.19""",13:50,,3.7,15.9,0.5,3.2,1.4,2.313,0.024,2.1,127.27338888888889,35.47366388888889
1013A90,가평천3,2025/01/15,2회차,"127°31'2.28""","37°49'53.04""",14:40,,1.5,15.0,0.3,1.4,0.9,2.44,0.008,0.7,127.5173,37.8314
1101A73,관리천,2025/01/15,2회차,"126°57'11.88""","37°3'53.28""",:,,,,,,,,,,126.9533,37.0648
2012A70,금호강8,2025/01/15,2회차,"128°28'18.8""","35°51'13.6""",15:50,,4.8,14.4,1.1,6.3,2.0,6.182,0.034,5.1,128.47188888888888,35.85377777777778
3301A55,김제,2025/01/15,2회차,"126°57'24""","35°54'24.5""",12:15,,5.5,13.7,2.4,8.5,12.0,6.376,0.088,6.6,126.95666666666666,35.90680555555556
3302A40,동진강3,2025/01/15,2회차,"126°49'2.7""","35°43'2.9""",11:15,,4.6,13.6,1.5,6.1,6.9,3.679,0.054,3.9,126.81741666666666,35.71747222222223
1023A50,문산천4,2025/01/15,2회차,"126°46'33.24""","37°51'29.52""",12:40,,1.4,13.6,4.1,5.2,25.3,5.202,0.156,4.4,126.7759,37.858200000000004
2009A10,상주3,2025/01/15,2회차,"128°17'40.8""","36°21'16.7""",11:00,,2.7,14.7,0.7,3.6,1.2,2.16,0.016,2.9,128.29466666666667,36.35463888888889
1006A45,섬강3,2025/01/15,2회차,"127°55'18.48""","37°25'43.68""",12:35,,0.7,15.1,0.6,2.9,0.9,3.596,0.022,1.6,127.9218,37.428799999999995
1006A80,섬강6,2025/01/15,2회차,"127°44'51.36""","37°14'31.56""",14:10,,1.6,14.2,1.0,3.7,2.7,5.156,0.044,2.3,127.7476,37.2421
1012A40,소양강2,2025/01/15,2회차,"127°47'24.72""","37°55'44.04""",11:30,,7.1,13.4,0.4,2.4,0.9,1.651,0.011,1.5,127.7902,37.9289
2003A45,안동5,2025/01/15,2회차,"128°25'39.08""","36°31'16.83""",12:10,,3.1,12.5,0.5,4.6,4.8,1.616,0.018,3.2,128.42752222222222,36.521341666666665
1005A60,원주,2025/01/15,2회차,"127°44'46.03""","37°12'18.38""",13:30,,3.3,14.9,0.6,3.0,4.0,2.582,0.016,1.7,127.74611944444445,37.205105555555555
1003A71,제천천4,2025/01/15,2회차,"128°3'21.71""","37°5'21.75""",12:30,,0.4,15.0,0.4,2.8,0.9,5.484,0.024,1.7,128.05603055555557,37.089375000000004
1015A30,조종천4,2025/01/15,2회차,"127°24'29.51""","37°43'42.03""",15:30,,0.6,14.9,0.7,2.4,4.2,3.789,0.014,1.2,127.40819722222223,37.728341666666665
1101A72,진위천5,2025/01/15,2회차,"126°59'33""","37°4'51.6""",12:25,,6.5,11.8,3.8,8.3,7.2,8.715,0.150,4.8,126.9925,37.081
1101A75,진위천6,2025/01/15,2회차,"127°0'59.4""","37°1'2.64""",11:00,,4.2,11.3,6.0,8.9,6.4,10.335,0.225,5.4,127.0165,37.0174
1015A10,청평,2025/01/15,2회차,"127°25'11.6""","37°43'28.2""",15:50,,2.5,13.9,0.5,2.4,1.4,1.964,0.012,1.4,127.41988888888889,37.7245
1013A60,춘성교,2025/01/15,2회차,"127°33'7.56""","37°50'44.88""",14:00,,3.0,13.6,0.5,2.5,1.4,1.763,0.012,1.5,127.5521,37.845800000000004
1003A75,충주,2025/01/15,2회차,"127°58'47.3""","37°0'44.3""",11:20,,7.2,12.7,0.3,2.4,3.3,2.397,0.024,1.4,127.97980555555556,37.01230555555556
1007A70,흑천3,2025/01/15,2회차,"127°31'40.08""","37°27'57.24""",14:20,,1.0,15.0,0.6,2.1,1.1,3.758,0.018,1.0,127.5278,37.465900000000005
5001A40,광주1,2025/01/15,3회차,"126°49'25.3""","35°9'39.6""",10:41,,3.8,14.2,1.3,5.2,5.2,2.85,0.087,2.8,126.82369444444444,35.161
5001A70,광주2,2025/01/15,3회차,"126°49'41.8""","35°8'27.9""",09:54,,6.4,11.9,3.0,6.7,6.8,10.497,0.141,4.1,126.82827777777777,35.141083333333334
5001A80,광주3,2025/01/15,3회차,"126°49'12.81""","35°6'40.18""",10:10,,6.8,11.3,3.7,7.1,8.0,11.051,0.179,4.2,126.820225,35.111161111111116
4009A30,구례,2025/01/15,3회차,"127°32'39.2""","35°11'25.4""",12:23,,4.6,13.4,0.3,3.6,2.4,2.161,0.013,1.8,127.54422222222222,35.19038888888888
2022A35,구포,2025/01/15,3회차,"128°59'25.74""","35°12'22.69""",14:35,,3.8,14.8,4.9,18.6,10.0,2.748,0.040,8.9,128.99048333333332,35.20630277777778
5001A10,담양,2025/01/15,3회차,"127°1'3.4""","35°19'59.7""",11:34,,4.7,14.1,0.4,3.4,3.2,2.136,0.154,1.6,127.01761111111111,35.33325000000001
5006A40,무안1,2025/01/15,3회차,"126°31'48.1""","34°53'55.2""",11:18,,4.2,13.5,1.8,7.5,10.4,5.81,0.090,3.8,126.53002777777778,34.898666666666664
4008A20,보성강7,2025/01/15,3회차,"127°22'33.9""","35°11'33.7""",12:51,,4.9,12.9,0.2,2.8,0.4,1.017,0.006,1.5,127.37608333333333,35.19269444444444
1101A25,안성천3,2025/01/15,3회차,"127°4'48.1""","36°59'.9""",11:24,,2.8,12.3,2.9,6.9,10.2,7.083,0.151,3.6,127.08002777777777,36.983583333333335
5004A30,영산포1,2025/01/15,3회차,"126°40'49.3""","35°0'16.6""",10:45,,4.8,17.5,3.6,9.0,14.0,7.236,0.101,4.7,126.68036111111111,35.00461111111111
4009A50,하동,2025/01/15,3회차,"127°44'21.9""","35°3'48.2""",11:42,,4.6,12.6,0.5,4.2,17.2,1.508,0.029,1.7,127.73941666666667,35.06338888888889
4101A10,강진천,2025/01/16,1회차,"126°44'42""","34°38'21.3""",10:57,,4.7,13.5,0.3,3.2,42.8,2.18,0.091,1.2,126.745,34.63925
2015A10,거창동천1,2025/01/16,1회차,"127°55'33.3""","35°44'19.3""",13:02,,3.4,14.6,0.5,3.7,3.6,3.454,0.015,정량한계미만,127.92591666666667,35.73869444444445
2015A20,거창동천2,2025/01/16,1회차,"127°55'27""","35°41'47""",13:15,,4.0,14.0,0.5,4.3,25.4,4.552,0.032,0.4,127.92416666666666,35.69638888888888
2015A30,거창위천1,2025/01/16,1회차,"127°51'44.8""","35°42'9.7""",12:45,,3.3,14.0,0.4,2.9,10.2,2.055,0.035,정량한계미만,127.86244444444444,35.70269444444445
2015A40,거창위천2,2025/01/16,1회차,"127°55'.5""","35°41'7.7""",13:25,,4.1,14.5,0.5,3.3,7.4,2.07,0.018,정량한계미만,127.91680555555556,35.68547222222222
2001A38,골포천,2025/01/16,1회차,"129°5'44.88""","36°58'40.54""",14:00,,1.6,12.5,0.3,1.7,1.6,0.696,0.009,0.6,129.0958,36.97792777777778
2012A20,금호강1,2025/01/16,1회차,"128°59'20.04""","36°2'47.04""",11:00,,2.2,13.3,0.5,3.7,2.2,1.488,0.006,3.8,128.98889999999997,36.0464
2012A25,금호강2,2025/01/16,1회차,"128°51'25.02""","35°55'27.88""",13:30,,1.5,14.7,1.3,6.1,7.6,2.931,0.028,3.6,128.85694999999998,35.924411111111105
2019A05,남강1,2025/01/16,1회차,"128°2'15.35""","35°9'39.58""",12:20,,4.2,11.5,0.7,3.6,1.6,1.389,0.019,1.9,128.03759722222222,35.16099444444444
2019A35,남강4,2025/01/16,1회차,"128°16'20.04""","35°15'22.18""",13:40,,3.2,12.9,0.9,3.4,1.2,3.536,0.023,2.1,128.27223333333333,35.25616111111111
2018A05,남강천,2025/01/16,1회차,"127°48'48.9""","35°37'44.9""",10:56,,0.2,14.8,0.5,1.7,0.9,2.267,0.004,1.0,127.81358333333333,35.62913888888889
4007A25,남천,2025/01/16,1회차,"127°5'30.53""","35°7'52.99""",14:10,,3.6,15.5,0.6,2.4,1.0,0.965,0.010,1.6,127.09181388888888,35.13138611111111
2021A35,단장천3,2025/01/16,1회차,"128°58'2.06""","35°27'31.38""",10:20,,0.5,14.8,0.3,1.2,0.4,1.242,0.009,0.4,128.9672388888889,35.45871666666667
2013A03,대가천1,2025/01/16,1회차,"128°3'33.46""","35°54'21.29""",10:40,,1.6,13.4,0.3,1.9,0.4,2.25,0.017,0.6,128.05929444444445,35.90591388888889
2013A15,대가천3,2025/01/16,1회차,"128°15'53.56""","35°47'42.95""",09:30,,2.6,13.1,0.6,2.3,0.8,1.613,0.019,1.1,128.26487777777777,35.79526388888889
4004A15,대강,2025/01/16,1회차,"127°11'16.13""","35°20'47.21""",13:30,,3.8,15.7,0.8,3.1,2.8,2.234,0.018,2.2,127.1878138888889,35.346447222222224
2018A50,덕천강1,2025/01/16,1회차,"127°50'9.91""","35°16'36.72""",14:07,,3.3,15.6,0.2,1.2,1.0,1.077,0.004,0.5,127.8360861111111,35.27686666666666
2018A55,덕천강2,2025/01/16,1회차,"127°53'44.5""","35°15'48.8""",14:24,,2.6,13.8,0.4,1.6,0.4,1.152,0.003,0.6,127.89569444444444,35.263555555555556
4007A20,동복천1,2025/01/16,1회차,"127°5'37.38""","35°10'48.01""",12:30,,3.4,14.0,0.4,1.8,0.9,1.035,0.006,1.3,127.09371666666667,35.18000277777777
2021A12,동창천1,2025/01/16,1회차,"128°59'1.9""","35°45'37.1""",11:30,,4.2,14.1,0.3,1.2,0.4,1.845,0.014,0.5,128.9838611111111,35.760305555555554
2021A16,동창천2,2025/01/16,1회차,"128°48'52.53""","35°35'39.07""",13:00,,2.1,14.8,0.5,2.3,0.4,1.274,0.013,1.2,128.81459166666667,35.594186111111114
6003A10,동홍천,2025/01/16,1회차,"126°34'19.2""","33°14'48.84""",08:12,,14.2,10.0,0.2,0.5,0.4,1.046,0.106,0.2,126.572,33.246900000000004
5004A27,만봉천,2025/01/16,1회차,"126°42'20.57""","34°59'32.38""",11:55,,4.6,16.2,1.5,4.0,3.3,3.105,0.144,2.7,126.7057138888889,34.99232777777778
5004A32,문평천,2025/01/16,1회차,"126°38'10.19""","35°0'16.73""",11:15,,5.1,14.1,2.5,5.4,6.4,5.502,0.560,3.8,126.6361638888889,35.004647222222225
3011A05,미호강1,2025/01/16,1회차,"127°30'1.94""","36°58'50.02""",10:05,,2.1,13.3,3.9,8.0,6.0,11.423,0.197,6.4,127.50053888888888,36.980561111111115
3011A20,미호강3,2025/01/16,1회차,"127°30'12.6""","36°50'44.1""",10:40,,2.5,13.3,2.1,5.2,4.1,6.778,0.129,3.2,127.5035,36.84558333333334
3011A32,미호강4,2025/01/16,1회차,"127°29'36""","36°49'33.4""",10:50,,2.3,13.5,1.6,5.1,2.6,6.965,0.121,2.9,127.49333333333334,36.825944444444445
3011A50,미호강6,2025/01/16,1회차,"127°28'32.3""","36°42'50.4""",11:25,,2.3,13.9,1.3,4.5,6.3,5.686,0.064,2.7,127.4756388888889,36.714000000000006
3011A70,미호강7,2025/01/16,1회차,"127°22'58.9""","36°39'30.1""",12:00,,5.0,13.1,1.3,5.3,4.0,6.473,0.064,3.4,127.38302777777777,36.65836111111111
3011A82,미호강8,2025/01/16,1회차,"127°21'2.58""","36°37'22.73""",12:15,,5.5,12.7,1.6,8.1,4.6,5.911,0.117,5.5,127.35071666666666,36.62298055555556
2021A25,밀양강1,2025/01/16,1회차,"128°45'52.51""","35°33'49.38""",14:30,,3.8,15.8,1.5,3.6,3.2,2.598,0.042,2.0,128.7645861111111,35.563716666666664
4007A05,보성강1,2025/01/16,1회차,"127°1'5.41""","34°45'44.1""",10:40,,3.4,13.5,0.5,1.7,2.9,1.551,0.018,0.9,127.01816944444444,34.76225
4007A07,보성강2,2025/01/16,1회차,"127°8'41.63""","34°48'19.18""",12:20,,2.9,14.1,1.3,2.6,4.3,1.308,0.027,2.1,127.14489722222223,34.80532777777778
4008A05,보성강5,2025/01/16,1회차,"127°15'35.23""","35°5'18.35""",11:00,,5.8,11.3,0.4,2.9,1.0,0.867,0.008,2.1,127.25978611111111,35.08843055555556
3101A05,삽교천1,2025/01/16,1회차,"126°43'52.1""","36°41'12.2""",10:21,,4.3,12.7,1.5,4.8,6.4,6.859,0.123,2.6,126.73113888888889,36.68672222222222
3101A10,삽교천2,2025/01/16,1회차,"126°45'17.57""","36°44'9.85""",10:41,,3.4,12.8,1.7,4.8,6.3,6.288,0.112,2.6,126.75488055555556,36.736069444444446
3101A15,삽교천3,2025/01/16,1회차,"126°48'53.6""","36°46'26.7""",10:58,,3.4,13.9,1.1,4.3,3.1,6.636,0.094,2.1,126.81488888888889,36.77408333333333
5201A10,석교천,2025/01/16,1회차,"126°12'50.9""","34°29'24.7""",11:20,,4.4,13.5,0.7,7.3,7.2,2.946,0.033,4.1,126.2141388888889,34.49019444444445
2012A22,신령천,2025/01/16,1회차,"128°54'2.15""","35°58'50.73""",11:10,,3.3,14.8,1.3,4.4,4.0,11.605,0.024,2.7,128.90059722222222,35.980758333333334
2017A20,신반천,2025/01/16,1회차,"128°22'9.6""","35°30'53""",13:00,,4.3,14.6,1.0,4.3,3.2,3.201,0.035,2.8,128.36933333333334,35.514722222222225
2018A40,양천2,2025/01/16,1회차,"127°58'53.7""","35°17'45.8""",13:36,,2.6,16.1,1.0,3.3,0.4,1.196,0.019,3.2,127.98158333333333,35.296055555555554
5004A22,영산천,2025/01/16,1회차,"126°45'48.98""","35°0'23.27""",13:50,,12.3,13.8,5.2,7.1,6.6,6.588,0.119,4.7,126.76360555555556,35.00646388888889
5007A10,영암천1,2025/01/16,1회차,"126°39'.3""","34°49'12.1""",11:33,,5.4,13.4,1.4,5.5,3.2,3.665,0.168,3.1,126.65008333333334,34.82002777777778
2019A15,영천강1,2025/01/16,1회차,"128°11'4.4""","35°6'53.47""",10:40,,3.6,12.7,0.4,1.7,1.2,2.51,0.032,0.9,128.18455555555556,35.11485277777778
1101A35,오산천1,2025/01/16,1회차,"127°5'35.16""","37°13'22.08""",10:06,,-1.4,15.3,2.0,5.1,1.3,5.419,0.037,3.3,127.09309999999999,37.2228
1101A40,오산천3,2025/01/16,1회차,"127°5'1.68""","37°11'8.52""",10:31,,-1.0,14.8,1.6,5.5,7.3,5.968,0.061,3.4,127.0838,37.1857
1101A45,오산천5,2025/01/16,1회차,"127°4'17.04""","37°9'28.08""",10:47,,0.4,13.2,4.0,5.2,2.6,6.097,0.050,3.6,127.0714,37.1578
1101A50,오산천7,2025/01/16,1회차,"127°2'58.56""","37°6'17.64""",12:25,,2.1,12.8,5.8,6.9,4.8,7.268,0.125,4.8,127.0496,37.1049
6001A10,옹포천,2025/01/16,1회차,"126°15'36.67""","33°24'20.34""",09:12,,14.4,10.2,0.1,0.9,2.0,13.505,0.145,0.5,126.26018611111111,33.40565
5302A20,와탄천,2025/01/16,1회차,"126°28'28.9""","35°19'36""",11:00,,3.6,13.3,2.9,9.0,9.6,8.505,0.683,5.3,126.47469444444445,35.32666666666667
6002A10,외도천,2025/01/16,1회차,"126°26'11.4""","33°29'36.96""",10:00,,13.0,10.6,0.1,0.5,0.4,2.213,0.084,0.3,126.43650000000001,33.4936
4005A05,요천1,2025/01/16,1회차,"127°30'56.04""","35°29'51.4""",13:50,,2.9,14.9,0.5,1.8,0.9,2.225,0.005,1.0,127.51556666666667,35.49761111111111
2002A33,용계천,2025/01/16,1회차,"128°58'22.88""","36°26'20.99""",11:40,,2.6,13.4,0.5,2.3,1.2,3.339,0.014,1.2,128.97302222222223,36.439163888888885
2002A25,용전천2,2025/01/16,1회차,"129°0'17.36""","36°29'25.59""",13:30,,1.3,13.6,0.4,2.1,0.4,2.097,0.011,1.3,129.00482222222223,36.49044166666667
2008A17,위천3,2025/01/16,1회차,"128°28'4.26""","36°18'37.74""",10:30,,4.4,12.4,0.8,4.6,0.4,3.056,0.018,3.2,128.46785,36.31048333333333
4104A25,이사천2,2025/01/16,1회차,"127°26'25.38""","34°56'51.77""",10:40,,8.5,11.8,0.6,2.6,1.6,0.881,0.008,1.8,127.44038333333334,34.947713888888885
2020A35,임해진,2025/01/16,1회차,"128°36'6.82""","35°23'31.18""",13:00,,3.8,13.0,1.5,4.6,3.2,3.115,0.027,2.8,128.60189444444444,35.39199444444444
1101A15,입장천,2025/01/16,1회차,"127°8'23.28""","36°57'50.4""",15:25,,2.6,13.2,2.3,6.2,3.6,5.878,0.078,3.4,127.13980000000001,36.964000000000006
5004A17,장성천2,2025/01/16,1회차,"126°44'23.58""","35°3'23.08""",10:20,,3.7,13.0,2.0,5.2,4.6,5.222,0.291,3.9,126.73988333333334,35.05641111111111
2020A48,주항천,2025/01/16,1회차,"128°42'21.52""","35°17'24.69""",10:50,,1.1,14.8,0.6,2.8,4.0,2.086,0.037,1.5,128.70597777777778,35.290191666666665
1101A30,진위천3,2025/01/16,1회차,"127°5'22.56""","37°5'46.32""",11:15,,-3.6,15.3,1.1,3.4,1.2,2.567,0.026,2.2,127.08959999999999,37.0962
1101A55,진위천4,2025/01/16,1회차,"127°0'6.48""","37°5'25.08""",12:48,,0.1,14.4,4.7,8.1,5.7,6.504,0.099,5.0,127.0018,37.0903
6004A10,천미천,2025/01/16,1회차,"126°50'47.1""","33°20'32.07""",11:09,,,,,,,,,,126.84641666666666,33.342241666666666
2012A27,청통천,2025/01/16,1회차,"128°49'22.02""","35°58'.76""",10:10,,1.3,13.4,1.1,3.1,4.0,5.9,0.077,2.2,128.82278333333332,35.96687777777778
4001A20,추령천,2025/01/16,1회차,"127°1'26.33""","35°32'46.24""",10:10,,2.1,13.2,0.5,2.2,1.0,3.095,0.007,1.4,127.02398055555555,35.54617777777778
4002A25,치천,2025/01/16,1회차,"127°7'50.9""","35°29'8.5""",11:20,,1.2,14.9,0.3,2.0,0.9,2.4,0.004,1.4,127.13080555555555,35.48569444444445
2017A40,토평천2,2025/01/16,1회차,"128°22'36.3""","35°31'10.7""",15:00,,4.1,13.2,6.6,11.8,16.8,2.143,0.101,7.7,128.37675000000002,35.519638888888885
2018A10,함양위천1,2025/01/16,1회차,"127°43'45.84""","35°30'53.28""",11:36,,2.5,15.2,0.8,2.2,0.9,2.627,0.017,1.4,127.7294,35.5148
2018A15,함양위천2,2025/01/16,1회차,"127°46'54.5""","35°30'53.3""",12:59,,3.0,15.2,1.0,3.8,2.4,3.159,0.018,2.3,127.78180555555555,35.514805555555554
2017A10,합천,2025/01/16,1회차,"128°21'35.43""","35°31'41.08""",14:30,,4.2,14.2,0.9,4.6,3.6,3.268,0.025,3.0,128.35984166666665,35.528077777777774
2101A10,형산강1,2025/01/16,1회차,"129°12'23.76""","35°43'28.56""",14:00,,5.0,12.5,0.3,2.0,0.4,1.848,0.020,0.7,129.20659999999998,35.7246
2101A20,형산강2,2025/01/16,1회차,"129°12'3.24""","35°48'53.69""",13:40,,3.5,13.3,0.8,1.8,1.2,1.267,0.011,0.9,129.2009,35.81491388888889
2101A30,형산강3,2025/01/16,1회차,"129°14'26.52""","35°55'39""",13:15,,4.1,15.2,1.5,4.0,2.4,3.131,0.036,2.5,129.24069999999998,35.927499999999995
2101A50,형산강4,2025/01/16,1회차,"129°15'55.08""","35°58'52.68""",12:50,,2.7,14.7,2.3,4.1,4.2,3.162,0.033,2.8,129.2653,35.981300000000005
2015A60,황강2,2025/01/16,1회차,"127°59'6.7""","35°37'57.2""",11:35,,2.2,14.1,0.5,3.7,0.8,3.564,0.023,0.3,127.98519444444445,35.632555555555555
2001A35,황지3,2025/01/16,1회차,"129°3'2.59""","37°4'2.23""",15:00,,1.4,13.3,0.8,3.2,2.4,4.682,0.023,1.6,129.05071944444447,37.067286111111116
2001A39,회룡천,2025/01/16,1회차,"129°4'53.73""","36°57'19.58""",12:00,,1.8,13.2,0.4,1.8,2.0,1.575,0.014,0.5,129.08159166666667,36.95543888888889
1016A75,경안천10,2025/01/16,2회차,"127°18'48.5""","37°26'13""",10:00,,2.6,13.9,1.1,3.8,1.9,5.104,0.030,2.6,127.31347222222222,37.43694444444444
1016A45,경안천6,2025/01/16,2회차,"127°14'20.8""","37°21'24.2""",12:30,,3.5,13.5,0.9,3.6,2.8,4.305,0.043,2.6,127.23911111111111,37.356722222222224
1019A60,공릉천5,2025/01/16,2회차,"126°44'3.12""","37°45'25.92""",11:30,,3.0,11.6,5.4,8.0,8.0,9.24,0.215,5.1,126.7342,37.7572
1025A69,구의,2025/01/16,2회차,"127°6'46.08""","37°32'41.64""",11:00,,1.0,15.0,0.9,2.8,3.1,2.724,0.018,1.9,127.1128,37.5449
1019A40,굴포천4,2025/01/16,2회차,"126°46'22.14""","37°34'30.22""",13:10,,9.2,10.4,1.2,6.2,7.1,12.475,0.340,4.5,126.77281666666667,37.57506111111111
1018A52,노량진,2025/01/16,2회차,"126°57'30.58""","37°30'59.45""",10:20,,2.2,13.5,1.3,3.6,3.0,5.512,0.036,2.4,126.95849444444444,37.51651388888889
1018A82,안양천9,2025/01/16,2회차,"126°52'24.24""","37°30'31.32""",11:20,,5.5,11.3,2.1,7.2,4.3,9.955,0.125,5.2,126.87339999999999,37.5087
1025A51,왕숙천6,2025/01/16,2회차,"127°9'47.88""","37°35'5.28""",10:20,,6.3,11.3,3.1,5.5,4.3,7.953,0.108,4.0,127.1633,37.5848
1018A30,중랑천3,2025/01/16,2회차,"127°3'4""","37°41'10.7""",14:30,,7.7,11.8,5.5,6.7,5.9,10.61,0.140,4.2,127.05111111111111,37.68630555555555
1018A16,탄천5,2025/01/16,2회차,"127°7'21.36""","37°28'1.2""",13:30,,9.3,11.8,1.9,6.1,3.7,7.749,0.108,4.3,127.12259999999999,37.467
1025A03,팔당,2025/01/16,2회차,"127°14'11.35""","37°32'42.31""",09:30,,1.1,14.3,0.8,2.8,2.4,2.746,0.014,1.7,127.2364861111111,37.54508611111111
1019A25,행주,2025/01/16,2회차,"126°48'39.91""","37°35'56.39""",12:10,,2.3,13.7,2.7,4.6,8.1,6.124,0.066,3.8,126.81108611111111,37.59899722222222
1101A57,황구지천1,2025/01/16,2회차,"126°56'47.76""","37°19'25.32""",10:00,,8.0,11.0,1.2,4.7,6.0,9.555,0.085,3.4,126.9466,37.3237
1101A58,황구지천2,2025/01/16,2회차,"126°56'39.12""","37°18'2.16""",:,,,,,,,,,,126.94420000000001,37.300599999999996
1101A62,황구지천4,2025/01/16,2회차,"127°1'24.6""","37°12'21.96""",12:25,,11.0,10.3,2.2,6.8,2.8,8.17,0.125,4.6,127.0235,37.206100000000006
1101A65,황구지천5,2025/01/16,2회차,"127°0'26.28""","37°11'11.76""",12:55,,9.0,10.2,3.4,7.3,4.4,8.24,0.145,4.7,127.0073,37.1866
1101A70,황구지천6,2025/01/16,2회차,"126°59'58.02""","37°7'14.83""",13:35,,7.6,11.5,4.5,7.6,5.0,9.965,0.160,5.2,126.99945,37.12078611111111
2101A60,형산강5,2025/01/16,3회차,"129°20'39.84""","36°0'7.92""",12:35,,5.1,12.1,4.9,5.8,23.4,1.513,0.078,2.1,129.3444,36.0022
1101A60,황구지천3,2025/01/17,1회차,"126°59'36.8""","37°13'50""",09:55,,-0.3,14.8,4.6,8.9,10.1,6.342,0.075,5.5,126.99355555555556,37.230555555555554
3001A10,가막,2025/01/20,1회차,"127°31'4.1""","35°48'7.6""",10:50,,1.8,14.1,0.5,2.3,0.8,4.077,0.016,1.6,127.51780555555555,35.80211111111111
1001A13,골지천1,2025/01/20,1회차,"128°59'23.9""","37°18'32.9""",12:00,,,,,,,,,,128.9899722222222,37.30913888888889
1001A21,골지천3,2025/01/20,1회차,"128°52'13.66""","37°23'46.6""",12:00,,,,,,,,,,128.87046111111113,37.396277777777776
3012A65,금천,2025/01/20,1회차,"126°53'7.52""","36°14'53.49""",11:30,,3.7,14.9,1.8,5.1,10.8,3.384,0.068,2.9,126.88542222222223,36.24819166666667
